################################################################################
# FINAL ABLATION STUDY COMPARISON
################################################################################
| Configuration     |   BLEU |   ROUGE-1 |   ROUGE-2 |   ROUGE-L |   TF-IDF Cosine Sim |   BERTScore P |   BERTScore R |   BERTScore F1 |   ST Cosine Sim |   ST Dot Product |   SAS Score |   LLM Correctness |   LLM Completeness |   LLM Conciseness |
|:------------------|-------:|----------:|----------:|----------:|--------------------:|--------------:|--------------:|---------------:|----------------:|-----------------:|------------:|------------------:|-------------------:|------------------:|
| C1_Full_System    | 0.0595 |    0.3091 |    0.1065 |    0.1622 |              0.4373 |        0.771  |        0.8475 |         0.8073 |          0.7437 |           0.7437 |         nan |               4.8 |                2.8 |               3   |
| C2_No_KG          | 0.0625 |    0.332  |    0.1096 |    0.1766 |              0.439  |        0.7727 |        0.8501 |         0.8095 |          0.7487 |           0.7487 |         nan |               4.8 |                2.6 |               3.4 |
| C3_No_MultiHop    | 0.062  |    0.3367 |    0.1132 |    0.1781 |              0.4276 |        0.7701 |        0.8493 |         0.8076 |          0.7642 |           0.7642 |         nan |               4.4 |                2.4 |               3.2 |
| C4_No_Suggestions | 0.0595 |    0.3091 |    0.1065 |    0.1622 |              0.4373 |        0.771  |        0.8475 |         0.8073 |          0.7437 |           0.7437 |         nan |               4.4 |                2.6 |               3.4 |
| C5_No_LLMEval     | 0.0595 |    0.3091 |    0.1065 |    0.1622 |              0.4373 |        0.771  |        0.8475 |         0.8073 |          0.7437 |           0.7437 |         nan |               4.4 |                2.4 |               3.2 |
| C6_No_SrcTagging  | 0.1155 |    0.4699 |    0.1597 |    0.2328 |              0.6256 |        0.8667 |        0.8734 |         0.8699 |          0.8425 |           0.8425 |         nan |               4.8 |                2.6 |               4   |
| C7_No_Graph       | 0.0595 |    0.3091 |    0.1065 |    0.1622 |              0.4373 |        0.771  |        0.8475 |         0.8073 |          0.7437 |           0.7437 |         nan |               4.8 |                2.6 |               3.4 |

################################################################################
# FINAL ABLATION STUDY COMPARISON
################################################################################
| Configuration      |   BLEU |   ROUGE-1 |   ROUGE-2 |   ROUGE-L |   TF-IDF Cosine Sim |   BERTScore P |   BERTScore R |   BERTScore F1 |   ST Cosine Sim |   ST Dot Product |   SAS Score |   LLM Correctness |   LLM Completeness |   LLM Conciseness |
|:-------------------|-------:|----------:|----------:|----------:|--------------------:|--------------:|--------------:|---------------:|----------------:|-----------------:|------------:|------------------:|-------------------:|------------------:|
| C0_Rigorous_Prompt | 0.0403 |    0.239  |    0.0785 |    0.1243 |              0.3689 |        0.7649 |        0.8422 |         0.8014 |          0.593  |           0.593  |         nan |               4.8 |                2.6 |               3.2 |
| C1_Full_System     | 0.0472 |    0.2552 |    0.0886 |    0.1276 |              0.3677 |        0.7613 |        0.8414 |         0.7991 |          0.598  |           0.598  |         nan |               4.6 |                2.8 |               3.2 |
| C2_No_KG           | 0.0368 |    0.2348 |    0.0747 |    0.1235 |              0.3363 |        0.7576 |        0.8367 |         0.7951 |          0.5982 |           0.5982 |         nan |               4.8 |                2.8 |               3   |
| C3_No_MultiHop     | 0.0459 |    0.256  |    0.0893 |    0.1339 |              0.3811 |        0.7598 |        0.8386 |         0.797  |          0.6064 |           0.6064 |         nan |               4.8 |                2.2 |               2.8 |
| C4_No_Suggestions  | 0.0472 |    0.2552 |    0.0886 |    0.1276 |              0.3677 |        0.7613 |        0.8414 |         0.7991 |          0.598  |           0.598  |         nan |               4.6 |                2.4 |               3.4 |
| C5_No_LLMEval      | 0.0472 |    0.2552 |    0.0886 |    0.1276 |              0.3677 |        0.7613 |        0.8414 |         0.7991 |          0.598  |           0.598  |         nan |               4.6 |                2.4 |               3.4 |
| C6_No_SrcTagging   | 0.0803 |    0.3427 |    0.1217 |    0.176  |              0.5096 |        0.8289 |        0.8533 |         0.8407 |          0.6522 |           0.6522 |         nan |               5   |                3.4 |               4   |
| C7_No_Graph        | 0.0472 |    0.2552 |    0.0886 |    0.1276 |              0.3677 |        0.7613 |        0.8414 |         0.7991 |          0.598  |           0.598  |         nan |               4.6 |                3   | 

################################################################################
# FINAL ABLATION STUDY COMPARISON
################################################################################
| Configuration      |   BLEU |   ROUGE-1 |   ROUGE-2 |   ROUGE-L |   TF-IDF Cosine Sim |   BERTScore P |   BERTScore R |   BERTScore F1 |   ST Cosine Sim |   ST Dot Product |   SAS Score |   LLM Correctness |   LLM Completeness |   LLM Conciseness |
|:-------------------|-------:|----------:|----------:|----------:|--------------------:|--------------:|--------------:|---------------:|----------------:|-----------------:|------------:|------------------:|-------------------:|------------------:|
